T,R,T1,T2
21.6,0,25.8,32.1
20.4,0,23.6,29.2
19.8,578.7268201,22.2,27.4
18.7,852.7790331,21,25.8
17.1,988.0335231,19.8,25
16.2,1063.187252,18.1,23.6
16.2,1105.868642,18.1,22.9
15.7,1127.706592,18.7,22.9
15.2,1133.647278,17.6,22.9
14.8,1124.925863,17.1,22.2
14.4,1099.713081,17.1,22.2
14.4,1052.143877,16.6,21.6
14.8,968.6415811,16.6,21.6
12.7,816.2371587,15.7,21
13.1,495.8345273,15.2,19.8
13.1,0,14.8,19.8
13.5,0,14.4,19.2
13.9,0,13.9,18.7
14.4,0,13.9,18.1
14.4,0,13.9,18.1
15.2,0,13.9,18.1
15.2,0,13.9,18.1
15.2,0,13.9,17.6
15.7,0,13.9,17.6
15.7,0,14.4,17.6
15.7,0,14.4,18.1
16.2,580.6481958,14.8,18.1
17.1,852.8759016,16.2,18.7
21,987.6033165,21,20.4
22.2,1062.570166,24.3,24.3
24.3,1105.179115,28.3,28.3
22.2,1126.989444,31.1,32.1
24.3,1132.923723,33.2,34.4
23.6,1124.211877,36.9,38.3
24.3,1099.032495,36.9,39.8
24.3,1051.54951,38.3,41.4
24.3,968.2718758,35.6,39.8
22.2,816.518604,35.6,39.8
21,498.5075262,31.1,36.9
20.4,0,27.4,33.2
19.8,0,25.8,31.1
19.8,0,23.6,29.2
19.2,0,22.2,27.4
17.6,0,21,25.8
17.6,0,20.4,24.3
17.6,0,19.8,23.6
17.6,0,19.2,22.9
17.6,0,18.7,22.2
17.6,0,18.7,22.2
17.6,0,18.1,21.6
17.6,582.477778,18.1,21.6
17.6,852.9537235,18.1,21.6
18.7,987.1736537,18.7,21.6
18.1,1061.960548,19.2,22.2
19.8,1104.499838,19.8,22.9
19.8,1126.283664,21,23.6
19.8,1132.211805,22.2,24.3
20.4,1123.509127,23.6,25.8
20.4,1098.361806,25,26.6
19.8,1050.961757,25,27.4
19.2,967.9004871,24.3,27.4
18.7,816.7739978,23.6,27.4
18.1,501.056795,22.2,26.6
17.6,0,21,25
17.6,0,20.4,24.3
17.6,0,19.8,23.6
17.6,0,19.2,22.9
17.6,0,18.7,22.9
17.6,0,18.7,22.2
17.6,0,18.7,22.2
17.6,0,18.1,21.6
17.6,0,18.1,21.6
17.6,0,18.1,21.6
17.6,0,18.1,21.6
18.1,584.217534,18.1,21.6
19.2,853.0131485,18.7,21.6
19.8,986.745018,19.2,22.2
19.2,1061.35885,19.2,22.2
18.7,1103.831257,19.8,22.2
20.4,1125.589697,19.8,22.9
23.6,1131.51197,22.9,24.3
22.9,1122.81806,24.3,26.6
28.3,1097.701463,30.1,30.1
29.2,1050.381077,36.9,35.6
25.8,967.5279116,36.9,38.3
25.8,817.0040744,36.9,38.3
24.3,503.4851017,33.2,36.9
22.2,0,31.1,34.4
21.6,0,28.3,33.2
21.6,0,26.6,31.1
21.6,0,25.8,30.1
21.6,0,24.3,29.2
21.6,0,23.6,28.3
21.6,0,23.6,27.4
21.6,0,22.9,26.6
21.6,0,22.9,26.6
21,0,22.2,25.8
19.2,0,21.6,25
19.8,585.8693474,21,24.3
21,853.0548067,21,24.3
20.4,986.3178812,21,24.3
