T,R,T1,T2
31.1,1108.162368,33.2,49.4
31.1,1046.645164,34.4,49.4
31.1,929.0048737,35.6,49.4
29.2,675.3691937,36.9,47.1
26.6,0,34.4,43.2
25.8,0,32.1,39.8
25,0,31.1,38.3
25,0,29.2,35.6
25,0,28.3,34.4
24.3,0,27.4,33.2
24.3,0,26.6,32.1
23.6,0,25.8,31.1
23.6,0,25.8,30.1
23.6,0,25,30.1
22.9,0,25,29.2
22.9,0,24.3,28.3
22.9,121.4317639,24.3,28.3
23.6,738.2331276,24.3,27.4
25,956.7059916,25.8,28.3
24.3,1061.235261,26.6,29.2
25.8,1116.135832,28.3,31.1
25,1143.087469,30.1,33.2
25,1150.291909,31.1,33.2
22.9,1139.696711,30.1,34.4
22.2,1108.402953,27.4,32.1
21.6,1046.526612,26.6,31.1
21,927.9455593,24.3,29.2
21,671.1295384,23.6,27.4
20.4,0,22.9,26.6
20.4,0,22.2,25.8
21,0,21.6,25
21,0,21,25
21,0,21,25
21,0,21,24.3
19.8,0,21,24.3
19.8,0,20.4,23.6
19.8,0,20.4,23.6
19.2,0,19.8,23.6
19.2,0,19.8,22.9
19.2,0,19.8,22.9
18.7,105.2160385,19.2,22.9
19.2,734.8962785,19.2,22.2
19.2,955.8773747,19.2,22.2
21,1061.19465,19.8,22.9
22.9,1116.403595,21.6,24.3
25.8,1143.480146,25.8,26.6
22.9,1150.715029,27.4,29.2
22.2,1140.07463,26.6,30.1
24.3,1108.63166,27.4,31.1
23.6,1046.391072,28.3,32.1
24.3,926.8536706,28.3,32.1
22.9,666.784843,27.4,32.1
21.6,0,26.6,31.1
21,0,25,30.1
20.4,0,23.6,28.3
19.8,0,22.9,27.4
19.8,0,21.6,25.8
19.8,0,21,25
19.8,0,20.4,24.3
19.8,0,20.4,24.3
19.8,0,19.8,23.6
19.8,0,19.8,23.6
19.8,0,19.2,22.9
19.8,0,19.2,22.9
19.8,88.50726183,19.2,22.2
20.4,731.4783761,19.8,22.9
21.6,955.0204639,21,23.6
21.6,1061.138205,21.6,24.3
21.6,1116.659791,21.6,24.3
21.6,1143.8629,22.2,25
23.6,1151.128622,22.9,25.8
25,1140.442434,25,27.4
22.2,1108.848278,25,28.3
22.2,1046.238315,25,28.3
22.2,925.7288417,25,29.2
21.6,662.3331885,25,28.3
21,0,23.6,28.3
21,0,22.9,27.4
20.4,0,22.2,26.6
19.8,0,21.6,25.8
19.8,0,21,25
19.8,0,20.4,24.3
19.8,0,20.4,24.3
19.8,0,19.8,23.6
19.8,0,19.8,23.6
20.4,0,19.8,22.9
20.4,0,19.8,22.9
18.7,0,19.8,22.9
18.1,71.28723129,19.2,22.2
21,727.9781739,19.2,22.2
25,954.1349665,20.4,24.3
27.4,1061.065719,21.6,27.4
27.4,1116.904221,23.6,32.1
29.2,1144.235534,26.6,36.9
25.8,1151.532491,28.3,41.4
25.8,1140.799925,31.1,43.2
27.4,1109.052607,32.1,43.2
26.6,1046.06813,33.2,41.4
26.6,924.5707284,32.1,41.4
25,657.7726538,32.1,39.8
25,0,30.1,36.9
23.6,0,28.3,35.6
22.9,0,27.4,33.2
22.2,0,25.8,32.1
22.2,0,24.3,30.1
22.2,0,23.6,28.3
22.9,0,23.6,28.3
22.9,0,22.9,27.4
22.9,0,22.9,26.6
22.9,0,22.9,26.6
22.9,0,22.9,26.6
22.9,0,22.9,25.8
22.9,53.53662398,22.9,25.8
19.8,724.3944409,22.2,25.8
19.8,953.2206116,21.6,25
22.2,1060.977004,22.2,25
24.3,1117.136703,23.6,25.8
23.6,1144.597861,23.6,26.6
21.6,1151.926446,23.6,27.4
21.6,1141.146916,23.6,26.6
21,1109.244465,23.6,26.6
20.4,1045.880325,22.9,25.8
19.8,923.3790094,22.2,25
19.8,653.1013184,21.6,25
19.8,0,21,24.3
19.8,0,21,23.6
19.8,0,20.4,23.6
19.8,0,20.4,23.6
19.8,0,20.4,23.6
19.8,0,20.4,22.9
19.8,0,20.4,22.9
19.2,0,19.8,22.9
19.2,0,19.8,22.9
19.2,0,19.8,22.9
19.2,0,19.8,22.2
18.7,0,19.2,22.2
18.7,35.23510119,19.2,22.2
18.7,720.7259647,19.2,22.2
19.2,952.2771509,19.8,22.9
18.7,1060.871889,19.8,22.9
19.2,1117.357066,19.8,22.9
18.1,1142.123232,21,23.6
18.1,1109.743589,20.4,23.6
17.6,1045.209527,20.4,23.6
16.6,919.5993738,19.8,22.9
16.6,638.4033643,18.7,22.2
16.2,0,18.1,21.6
16.2,0,18.1,21.6
16.2,0,17.6,21
16.2,0,17.1,21
16.2,0,17.1,20.4
16.2,0,17.1,20.4
16.2,0,17.1,20.4
16.2,0,16.6,19.8
16.2,0,16.6,19.8
16.2,0,16.6,19.8
16.2,0,16.6,19.8
16.2,0,16.6,19.8
16.2,0,16.6,19.8
16.2,709.2002778,16.6,19.8
16.2,949.2700175,16.6,19.8
16.6,1060.456689,17.6,20.4
17.6,1117.943962,19.8,21.6
19.2,1145.940818,22.2,24.3
18.7,1153.399834,22.2,25.8
19.2,1142.42663,23.6,26.6
17.1,1109.884017,22.2,26.6
17.1,1044.949674,21,25
16.6,918.2705195,20.4,24.3
16.6,633.2697255,19.2,23.6
16.6,0,18.7,22.9
16.6,0,18.1,22.2
16.6,0,17.6,21.6
16.6,0,17.6,21
16.6,0,17.1,21
16.6,0,17.1,20.4
16.6,0,17.1,20.4
16.6,0,16.6,20.4
16.6,0,16.6,19.8
16.6,0,16.6,19.8
16.6,0,16.6,19.8
17.1,0,16.6,19.8
16.6,0,16.6,19.8
16.6,705.1811605,16.6,19.8
18.7,948.2081461,17.6,20.4
19.2,1060.284615,19.2,21.6
19.2,1118.114445,19.8,22.9
20.4,1146.249271,21.6,23.6
21.6,1153.741862,24.3,25.8
22.9,1142.718801,27.4,29.2
21,1110.01128,28.3,32.1
22.9,1044.671515,28.3,32.1
21.6,916.90684,28.3,33.2
20.4,628.0157911,27.4,32.1
19.2,0,25.8,31.1
19.2,0,24.3,29.2
19.2,0,22.9,28.3
18.7,0,22.2,27.4
18.7,0,21.6,25.8
18.7,0,20.4,25
18.7,0,19.8,24.3
17.6,0,19.2,23.6
17.6,0,19.2,22.9
18.1,0,18.7,22.2
18.1,0,18.7,22.2
18.7,0,18.1,21.6
18.1,0,18.1,21.6
18.1,701.0716078,18.1,21.6
19.2,947.1163086,18.7,21.6
21,1060.095556,19.8,22.2
21,1118.272185,21.6,23.6
20.4,1146.546578,22.9,25
20.4,1154.073125,25,26.6
19.2,1142.99964,24.3,27.4
19.2,1110.125288,23.6,27.4
19.2,1044.374973,23.6,26.6
18.7,915.5081783,22.9,26.6
19.2,622.6397082,21.6,25.8
18.1,0,21,25
18.1,0,20.4,24.3
17.6,0,19.8,23.6
17.6,0,19.2,22.9
17.6,0,18.7,22.2
17.6,0,18.7,21.6
17.6,0,18.1,21.6
17.6,0,18.1,21.6
17.1,0,18.1,21
17.6,0,17.6,21
17.1,0,17.6,21
16.6,0,17.6,20.4
16.6,0,17.1,20.4
16.2,696.8705783,17.1,20.4
16.2,945.9944171,17.1,20.4
16.2,1059.889456,17.6,20.4
17.1,1118.417105,18.7,21.6
18.1,1146.832649,21,22.9
19.2,1154.39353,21.6,25
18.1,1143.269058,21,25
17.1,1110.225965,19.8,23.6
16.2,1044.059992,18.7,22.2
15.2,914.0744098,18.1,21.6
15.2,617.1396489,17.1,21
14.8,0,16.6,20.4
14.8,0,16.2,19.8
15.2,0,16.2,19.2
14.8,0,15.7,19.2
14.8,0,15.7,18.7
15.2,0,15.7,18.7
14.8,0,15.2,18.7
14.8,0,15.2,18.7
14.8,0,15.2,18.1
14.8,0,15.2,18.1
14.8,0,15.2,18.1
14.8,0,15.2,18.1
14.8,0,15.2,18.1
14.4,692.5770713,14.8,18.1
13.9,944.8424149,14.8,18.1
14.4,1059.666278,15.2,18.1
14.4,1118.549142,16.2,18.7
15.2,1147.107407,17.1,19.8
15.2,1154.702996,18.1,20.4
14.8,1143.526982,18.1,21
14.8,1110.313256,17.6,21
14.8,1043.726541,17.1,21
14.8,912.6054437,16.6,20.4
13.9,611.5138155,16.2,19.2
13.9,0,15.2,18.7
13.9,0,14.8,18.1
13.9,0,14.8,18.1
13.9,0,14.4,17.6
13.9,0,14.4,17.6
13.5,0,14.4,17.6
13.5,0,14.4,17.1
13.5,0,13.9,17.1
13.5,0,13.9,17.1
13.5,0,13.9,17.1
13.5,0,13.9,17.1
13.5,0,13.5,16.6
